month,hot_tub,pool,month,city,host_type,bedrooms,bathrooms,guests,revenue,openness,occupancy,nightly_rate,lead_time,length_stay
2022-12,0,0,2019-6,Big Bear City,Professionals,3.0,2.0,8.0,0.0,28.5,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-1,Big Bear Lake,Single Owners,3.0,1.5,9.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-2,Big Bear Lake,Single Owners,3.0,1.5,9.0,0.0,28.5,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-3,Big Bear Lake,Single Owners,3.0,1.5,9.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-4,Big Bear Lake,Single Owners,3.0,1.5,9.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-5,Big Bear Lake,Single Owners,3.0,1.5,9.0,0.0,28.5,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,1,2019-1,Big Bear City,2-5 Units,3.0,1.0,5.0,1504.789978,31.0,0.322580645,150.4789978,22.0,3.25
2022-12,1,0,2019-10,Big Bear City,2-5 Units,3.0,1.0,5.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-11,Big Bear City,2-5 Units,3.0,1.0,5.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-12,Big Bear City,2-5 Units,3.0,1.0,5.0,1286.839966,31.0,0.258064516,160.8549957,61.420509736902886,4.0
2022-12,1,0,2019-2,Big Bear City,2-5 Units,3.0,1.0,5.0,2021.739944,28.5,0.464285714,155.5184573,19.25,2.5
2022-12,1,0,2019-3,Big Bear City,2-5 Units,3.0,1.0,5.0,595.9199829,31.0,0.129032258,148.9799957,4.75,1.0
2022-12,0,0,2019-4,Big Bear City,2-5 Units,3.0,1.0,5.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-5,Big Bear City,2-5 Units,3.0,1.0,5.0,148.9799957,31.0,0.032258065,148.9799957,2.0,1.0
2022-12,0,0,2019-6,Big Bear City,2-5 Units,3.0,1.0,5.0,595.9199829,30.0,0.133333333,148.9799957,2.0,1.0
2022-12,0,0,2019-7,Big Bear City,2-5 Units,3.0,1.0,5.0,595.9199829,31.0,0.129032258,148.9799957,2.0,2.0
2022-12,0,0,2019-8,Big Bear City,2-5 Units,3.0,1.0,5.0,148.9799957,31.0,0.032258065,148.9799957,2.0,1.0
2022-12,0,0,2019-9,Big Bear City,2-5 Units,3.0,1.0,5.0,148.9799957,30.0,0.033333333,148.9799957,2.0,1.0
2022-12,0,0,2019-1,Big Bear Lake,Professionals,3.0,2.0,8.0,8719.039795,31.0,0.516129032,544.9399872,61.420509736902886,4.0
2022-12,1,0,2019-2,Big Bear Lake,Professionals,3.0,2.0,8.0,4404.489899,28.5,0.357142857,440.4489899,61.420509736902886,3.333333333
2022-12,0,0,2019-3,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-4,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-5,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-6,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-7,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,28.5,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-1,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-10,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,1,2019-11,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-12,Big Bear Lake,Professionals,3.0,2.0,8.0,596.9399872,31.0,0.096774194,198.9799957,61.420509736902886,4.0
2022-12,1,1,2019-2,Big Bear Lake,Professionals,3.0,2.0,8.0,2574.719955,28.5,0.321428571,286.079995,61.420509736902886,3.0
2022-12,0,0,2019-3,Big Bear Lake,Professionals,3.0,2.0,8.0,497.9499969,31.0,0.064516129,248.9749985,1.0,2.0
2022-12,1,0,2019-4,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-5,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-6,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-7,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-8,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-9,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-1,Big Bear Lake,Professionals,3.0,2.0,8.0,3399.689972,31.0,0.258064516,424.9612465,13.57142857,1.142857143
2022-12,1,0,2019-10,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-11,Big Bear Lake,Professionals,3.0,2.0,8.0,900.0,30.0,0.066666667,450.0,3.0,1.0
2022-12,1,0,2019-12,Big Bear Lake,Professionals,3.0,2.0,8.0,4449.759949,31.0,0.35483871,404.5236317,52.8,2.4
2022-12,1,0,2019-2,Big Bear Lake,Professionals,3.0,2.0,8.0,3099.710052,28.5,0.214285714,516.6183421,18.2,1.2
2022-12,1,0,2019-3,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-4,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-5,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-6,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-7,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-8,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-9,Big Bear Lake,Professionals,3.0,2.0,8.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-1,Big Bear City,2-5 Units,3.0,2.0,8.0,6049.34993,31.0,0.774193548,252.0562471,38.69230769,2.0
2022-12,0,0,2019-10,Big Bear City,2-5 Units,3.0,2.0,8.0,1709.879974,31.0,0.290322581,189.9866638,39.8,1.8
2022-12,0,0,2019-11,Big Bear City,2-5 Units,3.0,2.0,8.0,2259.880005,30.0,0.3,251.0977783,26.75,2.25
2022-12,0,0,2019-12,Big Bear City,2-5 Units,3.0,2.0,8.0,6310.849915,31.0,0.612903226,332.1499955,61.420509736902886,2.857142857
2022-12,1,0,2019-2,Big Bear City,2-5 Units,3.0,2.0,8.0,5444.429947,28.5,0.75,259.2585689,46.44444444,2.333333333
2022-12,1,0,2019-3,Big Bear City,2-5 Units,3.0,2.0,8.0,4444.539963,31.0,0.612903226,233.9231559,19.125,2.125
2022-12,1,1,2019-4,Big Bear City,2-5 Units,3.0,2.0,8.0,2904.659927,30.0,0.566666667,170.8623487,14.42857143,2.428571429
2022-12,0,0,2019-5,Big Bear City,2-5 Units,3.0,2.0,8.0,1329.85997,31.0,0.225806452,189.9799957,36.25,1.75
2022-12,0,0,2019-6,Big Bear City,2-5 Units,3.0,2.0,8.0,1969.779953,30.0,0.366666667,179.0709048,27.42857143,1.571428571
2022-12,0,0,2019-7,Big Bear City,2-5 Units,3.0,2.0,8.0,3890.7799,31.0,0.774193548,162.1158291,36.25,3.0
2022-12,0,0,2019-8,Big Bear City,2-5 Units,3.0,2.0,8.0,2618.039932,31.0,0.483870968,174.5359955,58.5,2.666666667
2022-12,1,0,2019-9,Big Bear City,2-5 Units,3.0,2.0,8.0,1693.98996,30.0,0.3,188.2211066,38.75,2.0
2022-12,1,0,2019-1,Big Bear Lake,Single Owners,4.0,2.0,7.0,1784.0,31.0,0.161290323,356.8,61.420509736902886,9.195185360864706
2022-12,0,0,2019-10,Big Bear Lake,Single Owners,4.0,2.0,7.0,0.0,28.5,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-2,Big Bear Lake,Single Owners,4.0,2.0,7.0,795.8800049,28.5,0.142857143,198.9700012,61.420509736902886,4.0
2022-12,1,0,2019-3,Big Bear Lake,Single Owners,4.0,2.0,7.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-4,Big Bear Lake,Single Owners,4.0,2.0,7.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-5,Big Bear Lake,Single Owners,4.0,2.0,7.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-6,Big Bear Lake,Single Owners,4.0,2.0,7.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-7,Big Bear Lake,Single Owners,4.0,2.0,7.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-8,Big Bear Lake,Single Owners,4.0,2.0,7.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-9,Big Bear Lake,Single Owners,4.0,2.0,7.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-1,Big Bear City,2-5 Units,3.0,1.5,10.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-2,Big Bear City,2-5 Units,3.0,1.5,10.0,0.0,28.5,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-3,Big Bear City,2-5 Units,3.0,1.5,10.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-4,Big Bear City,2-5 Units,3.0,1.5,10.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-5,Big Bear City,2-5 Units,3.0,1.5,10.0,0.0,28.5,0.0,327.04738032354703,30.968203896761153,4.749502715945883
